#FourCC database file mostly based on information derived from http://fourcc.org/codecs.php
#Date: 16.10.2014
#
#Format description:
#	CSV based format with 3 entries divided by horizontal tabs (ASCII code 0x09)
#
#Example:
#	FOURCC [TAB] NAME [TAB] Summary
#
VIXL	VIXL	Used my MiroVideo products such as the DC10, DC20, DC30, etc. A motion JPEG format that is accelerated in hardware with the Zoran chipset. You can find more information about it here: http://multimedia.cx/simple-yuv.txt
VLV1	VLV1	Codec probably used in VideoLogic's Captivator product line.
VP30	VP30	On2 tell me "On2's VP3 codec will encode video into a VP3 file in multiple bit rates (roughly 220 Kbps, 330 Kbps, and 440 Kbps) and at optimum frame rates (usually 29.97 fps). This multiple bit rate file allows the TrueCast server to scale dynamically and smoothly as bandwidth congestion increases and decreases, providing the viewer with a consistent and reliable experience, without choppiness or interruption."
VP31	VP31	The successor to VP30. This algorithm was open sourced by On2 in 2001-2002 and is the basis for the Theora Video Codec: http://www.theora.org/
VP40	VP40	Another in On2/Duck's line of video codecs.
VP50	VP50	Another in On2/Duck's line of video codecs.
VP60	VP60	Another in On2/Duck's line of video codecs.
VP61	VP61	Another in On2/Duck's line of video codecs.
VP62	VP62	Another in On2/Duck's line of video codecs.
VP70	VP70	No information available for this codec.
VP80	VP80	No information available for this codec.
VQC1	VQC1	Digital video camera codec (ViewQuest).
VQC2	VQC2	Codec apparently used in Kodak DVC325 digital camera.
VQJC	VQJC	No information available for this codec.
VSSV	VSSV	VSS Video. Real-time or near-real-time encoding with high compression ratios and good image quality.
VUUU	VUUU	No information available for this codec.
VX1K	VX1K	No information available for this codec.
VX2K	VX2K	No information available for this codec.
VXSP	VXSP	No information available for this codec.
VYU9	VYU9	ATI YUV. Planar YUV format supported by some ATI capture systems?
VYUY	VYUY	ATI YUV. Packed YUV format supported by some ATI capture systems?
WBVC	WBVC	No information available for this codec.
WHAM	WHAM	Yet another FOURCC describing Microsoft's MSVC/CRAM codec.
WINX	WINX	Winnov Software Compression. Software codec used by some Winnov Videum products.
WJPG	WJPG	Winbond JPEG. Format supported by AverMedia
WMV1	WMV1	No information available for this codec.
WMV2	WMV2	No information available for this codec.
WMV3	WMV3	Windows Media Video 9.
WMVA	WMVA	The codec originally submitted for consideration as SMPTE VC1. This is not VC1 compliant and is no longer supported by Microsoft.
WNV1	WNV1	Winnov Hardware Compression. Hardware codec used by Winnov Videum products.
WVC1	WVC1	Microsoft's implementation of the SMPTE VC1 codec.
X263	X263	Another H.263 codec. This one is apparently used by an IBM-branded webcam.
X264	H264	This FOURCC was originally registered by a company called XiWave but their web presence has disappeared. I am now informed that it is used by a popular open source H.264 implementation.
X265	H265	No information available for this codec.
XLV0	XLV0	No information available for this codec.
XMPG	XMPG	Editable (I frame only) MPEG codec
XVID	XVID	XVID MPEG-4. Codec is available in source form from XVID web site: https://www.xvid.org/ This FOURCC is also supported by LEAD's MCMP Codec.
XWV3	XWV3	XWV3 is currently used to describe Xi-3 Video. Other XWVn are unused.
XXAN	XXAN	Codec useing Huffman and RLE encoding paired with basic interframing. This format is used in Wing Commander 3 and 4 movies. The codec filename is xanlib.dll and a player, xanmovie, is available on the the Kilrathi Saga and Crusader game CDs.
Y16 	Y16 	16bpp Grayscale Video. A simple, uncompressed format for recording 16bpp grayscale images.
Y411	Y411	Supposedly 16bpp packed but 4:1:1 is usually 12bpp - odd. This is an uncompressed YUV format.
Y41P	Y41P	Brooktree YUV 4:1:1. This is an uncompressed YUV 411 format.
Y444	Y444	Format provided by the Windows 2000 drivers for the iRez Stealth Fire camera. Seems to be a copy of IYU2.
Y8  	Y8  	Probably a duplicate of the uncompressed Y800 format. The 2 last characters are spaces. See also GREY which appears to be another duplicate
YC12	YC12	No information available for this codec.
YUV8	YUV8	No information available for this codec.
YUV9	YUV9	YUV9 Raw Format. An uncompressed YUV format used by Intel Indeo video products.
YUVP	YUVP	An uncompressed YCrCb 4:2:2 format using 10-bit precision components ordered Y0 U0 Y1 V0.
YUY2	YUY2	Yes, I know this isn't a compressed format but I get so many questions about where to find a codec for YUY2 AVIs that it's here to allow people to find the answer easily. I'm told "VirtualDub has been able to decode YUY2 internally since V1.3a. Newer versions of Ben Rudiak-Gould's Huffyuv codec will also convert YUY2 or UYVY data to RGB"
YUYV	YUYV	Compressed YUV format (Canopus).
YV12	YV12	YUV 4:2:0 Planar. Uncompressed format commonly used in MPEG video processing.
YV16	YV16	Uncompressed format similar to YV12 but with twice the chroma resolution.
YV92	YV92	Codec used by Intel's Smart Video Recorder product. Apparently a compresssed YVU9 format.
ZLIB	ZLIB	A generic lossless codec. Apparently also contains the MSZH codec. May be the same algorithm used in compressing PNG images.
ZMBV	ZMBV	The DoxBox Project. A codec using ZLIB compression which is used to capture screen information.
ZPEG	ZPEG	No information available for this codec.
ZYGO	ZYGO	ZyGoVideo. Video codec usually packaged in Quicktime files. Investigations suggest that it may be a variant of H.263.
ZYYY	ZYYY	No information available for this codec.
